canonical_name,massey_rating,scrape_date
Oregon,135,2026-05-27
Indiana,137,2026-05-27
Notre Dame,136,2026-05-27
Georgia,134,2026-05-27
Alabama,132,2026-05-27
Ole Miss,133,2026-05-27
Texas,130,2026-05-27
Miami,129,2026-05-27
Michigan,127,2026-05-27
Texas Tech,128,2026-05-27
Iowa,123,2026-05-27
USC,125,2026-05-27
BYU,119,2026-05-27
Texas A&M,121,2026-05-27
Oklahoma,122,2026-05-27
Utah,126,2026-05-27
Washington,124,2026-05-27
Louisville,117,2026-05-27
Tennessee,120,2026-05-27
SMU,114,2026-05-27
LSU,116,2026-05-27
Missouri,118,2026-05-27
Illinois,109,2026-05-27
Clemson,112,2026-05-27
TCU,111,2026-05-27
Vanderbilt,113,2026-05-27
James Madison,91,2026-05-27
Duke,96,2026-05-27
Georgia Tech,101,2026-05-27
Arizona,108,2026-05-27
Tulane,84,2026-05-27
Florida,105,2026-05-27
NC State,93,2026-05-27
South Carolina,106,2026-05-27
Pittsburgh,97,2026-05-27
Virginia,95,2026-05-27
Minnesota,90,2026-05-27
Auburn,107,2026-05-27
Nebraska,100,2026-05-27
Memphis,74,2026-05-27
Wisconsin,102,2026-05-27
Houston,92,2026-05-27
Navy,67,2026-05-27
Kentucky,98,2026-05-27
North Texas,75,2026-05-27
Kansas,94,2026-05-27
South Florida,77,2026-05-27
Cincinnati,89,2026-05-27
Northwestern,88,2026-05-27
Wake Forest,78,2026-05-27
Arkansas,99,2026-05-27
Old Dominion,60,2026-05-27
Toledo,63,2026-05-27
Baylor,87,2026-05-27
East Carolina,73,2026-05-27
Rutgers,81,2026-05-27
UNLV,61,2026-05-27
Army,62,2026-05-27
Ohio,53,2026-05-27
UCLA,79,2026-05-27
Maryland,80,2026-05-27
Cal,70,2026-05-27
UCF,76,2026-05-27
West Virginia,72,2026-05-27
Western Kentucky,47,2026-05-27
Virginia Tech,71,2026-05-27
Colorado,69,2026-05-27
Miami (OH),48,2026-05-27
North Carolina,66,2026-05-27
Marshall,44,2026-05-27
Troy,43,2026-05-27
Syracuse,54,2026-05-27
Purdue,65,2026-05-27
Boston College,59,2026-05-27
UConn,41,2026-05-27
Stanford,56,2026-05-27
Louisiana,37,2026-05-27
New Mexico,45,2026-05-27
Hawaii,42,2026-05-27
Air Force,46,2026-05-27
Liberty,31,2026-05-27
South Alabama,38,2026-05-27
Louisiana Tech,39,2026-05-27
Appalachian State,32,2026-05-27
Wyoming,40,2026-05-27
Bowling Green,29,2026-05-27
Temple,33,2026-05-27
Buffalo,19,2026-05-27
Rice,17,2026-05-27
UAB,18,2026-05-27
Southern Miss,20,2026-05-27
FIU,15,2026-05-27
Nevada,28,2026-05-27
Tulsa,22,2026-05-27
Akron,8,2026-05-27
Sam Houston,3,2026-05-27
Louisiana Monroe,4,2026-05-27
Charlotte,5,2026-05-27
UTEP,6,2026-05-27
UMass,1,2026-05-27
